CUI|Concept|CCS|Phecode|CTD|HPO|HDO
C0033581|'PROSTATITIS'|[165]|['Genitourinary']|['Urogenital disease (male)']|['HP:0000119 ! Abnormality of the genitourinary system', 'HP:0002715 ! Abnormality of the immune system']|['DOID:7 ! disease of anatomical entity']
C0033626|'Protein Deficiency'|[52]|['Metab']|['Nutrition disorder']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:0014667 ! disease of metabolism']
C0033770|'Prune belly'|[217]|['Cong']|['Congenital abnormality']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:225 ! syndrome']
C0033806|'Pseudo-hypoparathyroidism'|[58]|['Endo', 'Metab']|['Genetic disease (inborn)', 'Metabolic disease', 'Musculoskeletal disease']|['HP:0000818 ! Abnormality of the endocrine system']|['DOID:0014667 ! disease of metabolism', 'DOID:7 ! disease of anatomical entity']"
C0033847|'PSEUDOXANTHOMA ELASTICUM::PXE'|[217]|['Cong']|['Blood disease', 'Cardiovascular disease', 'Congenital abnormality', 'Connective tissue disease', 'Genetic disease (inborn)', 'Skin disease']|['HP:0001574 ! Abnormality of the integument']|['DOID:7 ! disease of anatomical entity']
C0033860|'PSORIASIS'|[198]|['Derm']|['Skin disease']|['HP:0001574 ! Abnormality of the integument']|['DOID:7 ! disease of anatomical entity']
C0033893|'Stress Headaches::Tension Headaches'|[84, 670]|['GI', 'Neuro']|['Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0033941|'Substance Induced Psychotic disorder'|[659]|['Mental']|['Mental disorder', 'Substance-related disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0033975|'Psychotic Disorders::mental disorder::Psychotic Disorder::PSYCHOSIS::Psychotic Disease'|[659]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0034041|'Postpartum Infection'|[195]|['Preg']|['Pregnancy complication']|[]|['DOID:7 ! disease of anatomical entity']
C0034067|'Emphysema/COPD::lung emphysema::EMPHYSEMA'|[127]|['Resp']|['Respiratory tract disease']|['HP:0002086 ! Abnormality of the respiratory system']|['DOID:7 ! disease of anatomical entity']
C0034069|'Pulmonary Interstitial Fibrosis::LUNG FIBROSIS::PULMONARY FIBROSIS::IPF::Cirrhosis of lung::Fibrosis of lung'|[133]|['Resp']|['Respiratory tract disease']|['HP:0002086 ! Abnormality of the respiratory system']|['DOID:7 ! disease of anatomical entity']
C0034072|'COR PULMONALE::PULMONARY HEART DISEASE::heart lung disease'|[103]|['Cardio']|['Cardiovascular disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0034089|'PULMONARY VALVE STENOSIS::pulmonary stenosis'|[96]|['Cardio']|['Cardiovascular disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0034152|'Spring fever::Henoch-Schönlein Purpura'|[62]|['Musc/Skel']|['Blood disease', 'Cardiovascular disease', 'Immune system disease', 'Pathology (process)', 'Signs and symptoms']|['HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:7 ! disease of anatomical entity']
C0034186|'PYELONEPHRITIS::Kidney Infection'|[159]|['Genitourinary']|['Urogenital disease (female)', 'Urogenital disease (male)']|['HP:0000119 ! Abnormality of the genitourinary system']|['DOID:7 ! disease of anatomical entity']
C0034372|'QUADRIPLEGIA'|[82]|['Neuro']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system', 'HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0034535|'radiation disease'|[]|[]|['Wounds and injuries']|[]|[]
C0034734|'raynaud::raynaud s disease::raynauds'|[114, 117]|['Cardio']|['Cardiovascular disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0034735|'RAYNAUDS SYNDROME::syndrome raynaud::raynaud syndrome::RAYNAUD PHENOMENON'|[117]|['Cardio']|['Cardiovascular disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0034882|'Rectal Disease'|[155]|['GI']|['Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0034885|'Tumour of rectum'|[44]|['GI', 'Neoplasms']|['Cancer', 'Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:14566 ! disease of cellular proliferation']
C0034887|'RECTAL POLYP::Rectal polyps'|[147]|['Neoplasms']|['Pathology (anatomical condition)']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0034888|'Rectal prolapsed'|[147]|['GI']|['Digestive system disease', 'Pathology (anatomical condition)']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0034931|'REFLEX SYMPATHETIC DYSTROPHY'|[95, 212]|['Neuro']|['Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0035012|'REITER SYNDROME::syndrome reiter'|[9, 201]|['Musc/Skel']|['Musculoskeletal disease']|['HP:0002715 ! Abnormality of the immune system']|['DOID:7 ! disease of anatomical entity']
C0035067|'RENAL ARTERY STENOSIS'|[117]|['Cardio']|['Cardiovascular disease', 'Urogenital disease (female)', 'Urogenital disease (male)']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0035078|'ESRD::Renal Insufficiency::Failure, Kidney::Kidney Failures::Failure, Renal::Renal Failures'|[157]|['Genitourinary']|['Urogenital disease (female)', 'Urogenital disease (male)']|['HP:0000119 ! Abnormality of the genitourinary system']|['DOID:7 ! disease of anatomical entity']
C0035204|'respiratory condition::Respiratory disease'|[133]|['Resp']|['Respiratory tract disease']|['HP:0002086 ! Abnormality of the respiratory system']|['DOID:7 ! disease of anatomical entity']
C0035222|'RESPIRATORY DISTRESS SYNDROME::Acute Respiratory Distress Syndrome::ARDS'|[131, 221]|['Resp']|['Respiratory tract disease']|['HP:0002086 ! Abnormality of the respiratory system']|['DOID:7 ! disease of anatomical entity']
C0035243|'RESPIRATORY INFECTION::Respiratory Infections'|[133]|['Resp']|['Respiratory tract disease']|['HP:0002086 ! Abnormality of the respiratory system']|['DOID:7 ! disease of anatomical entity']
C0035258|'RLS::Restless Legs Syndrome::RESTLESS LEGS::restless leg'|[81]|['Neuro']|['Mental disorder', 'Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0035288|'RETICULOENDOTHELIOSIS'|[21, 37, 38, 39, 41, 43, 57, 64, 121]|['Neoplasms']|['Genetic disease (inborn)', 'Immune system disease', 'Infant-newborn disease', 'Metabolic disease']|['HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:0050117 ! disease by infectious agent']
C0035302|'RETINAL ARTERY OCCLUSION'|[87]|['Eye']|['Cardiovascular disease', 'Eye disease']|['HP:0000478 ! Abnormality of the eye']|['DOID:7 ! disease of anatomical entity']
C0035305|'RETINAL DETACHMENT::Detached retina::Retinal Detachments'|[87]|['Eye']|['Eye disease']|['HP:0000478 ! Abnormality of the eye']|['DOID:7 ! disease of anatomical entity']
C0035309|'RETINOPATHY::disease retinal::RETINAL DISORDER'|[87]|['Eye']|['Eye disease']|['HP:0000478 ! Abnormality of the eye']|['DOID:7 ! disease of anatomical entity']
C0035317|'Retinal Hemorrhages'|[87]|['Eye']|['Eye disease', 'Pathology (process)']|['HP:0000478 ! Abnormality of the eye', 'HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:7 ! disease of anatomical entity']
C0035321|'Retinal Tear'|[87]|['Eye']|['Eye disease']|['HP:0000478 ! Abnormality of the eye']|['DOID:7 ! disease of anatomical entity']
C0035328|'RETINAL VEIN OCCLUSION::retinal vein thrombosis'|[87]|['Eye']|['Cardiovascular disease', 'Eye disease']|['HP:0000478 ! Abnormality of the eye']|['DOID:7 ! disease of anatomical entity']
C0035333|'RETINITIS'|[87, 90]|['Eye']|['Eye disease']|['HP:0000478 ! Abnormality of the eye']|['DOID:7 ! disease of anatomical entity']
C0035334|'RETINITIS PIGMENTOSA'|[87]|['Eye']|['Eye disease', 'Genetic disease (inborn)']|['HP:0000478 ! Abnormality of the eye']|['DOID:7 ! disease of anatomical entity']
C0035335|'RETINOBLASTOMA'|[41]|['Neoplasms']|['Cancer', 'Eye disease']|['HP:0000478 ! Abnormality of the eye', 'HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0035372|Rett's syndrome|[655]|['Neuro']|['Genetic disease (inborn)', 'Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0035400|REYES SYNDROME::reye 's syndrome|[81, 95]|['Neuro']|['Digestive system disease', 'Metabolic disease', 'Nervous system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:225 ! syndrome', 'DOID:7 ! disease of anatomical entity']"
C0035412|'Rhabdosarcoma::RHABDOMYOSARCOMA'|[21, 38, 39, 41]|['Neoplasms']|['Cancer']|['HP:0002664 ! Neoplasm', 'HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:14566 ! disease of cellular proliferation']
C0035435|'Rheumatism::Disease, Rheumatic'|[211]|['Musc/Skel']|['Connective tissue disease', 'Musculoskeletal disease']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0035436|'Arthritis, Rheumatic::Fever, Rheumatic'|[3, 203]|['Cardio', 'Musc/Skel']|['Bacterial infection or mycosis', 'Musculoskeletal disease']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:0050117 ! disease by infectious agent']
C0035439|'heart disease rheumatic fever::RHEUMATOID HEART DISEASE::RHEUMATIC HEART DISEASE::RHD'|[97]|['Cardio']|['Bacterial infection or mycosis', 'Cardiovascular disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0035455|'RHINITIS'|[133, 134]|['Signs/Symptoms']|['Ear-nose-throat disease', 'Respiratory tract disease']|['HP:0000152 ! Abnormality of head or neck']|['DOID:7 ! disease of anatomical entity']
C0035460|'Rhinitis, Vasomotor'|[134]|['Resp']|['Ear-nose-throat disease', 'Respiratory tract disease']|['HP:0000152 ! Abnormality of head or neck']|['DOID:7 ! disease of anatomical entity']
C0035522|'Rib Fractures'|[2620]|['Musc/Skel']|['Wounds and injuries']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0035579|'RICKETS'|[52]|['Musc/Skel']|['Metabolic disease', 'Musculoskeletal disease', 'Nutrition disorder']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0035854|'ROSACEA::ACNE ROSACEA'|[198]|['Derm']|['Skin disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0035934|'Rubinstein-Taybi Syndrome'|[217]|['Cong']|['Congenital abnormality', 'Genetic disease (inborn)', 'Musculoskeletal disease', 'Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:225 ! syndrome', 'DOID:630 ! genetic disease', 'DOID:7 ! disease of anatomical entity']"
C0036202|'SARCOIDOSIS::Sarcoid'|[8, 57]|['Derm']|['Lymphatic disease']|['HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:7 ! disease of anatomical entity']
C0036285|'Fever, Scarlet'|[3]|['ID']|['Bacterial infection or mycosis']|['HP:0001574 ! Abnormality of the integument']|['DOID:7 ! disease of anatomical entity']
C0036337|'schizo affective disorder'|[654, 659]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0036339|'Personality, Schizoid'|[658]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0036341|'SCHIZOPHRENIA::schizophrenia Disease::schizophrenia disorder'|[659]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0036349|'PARANOID SCHIZOPHRENIA::schizophrenia paranoid'|[654, 659]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0036396|'SCIATICA'|[205]|['Musc/Skel']|['Nervous system disease', 'Signs and symptoms']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0036420|'Morphea'|[200]|['Derm']|['Connective tissue disease', 'Skin disease']|['HP:0001574 ! Abnormality of the integument']|['DOID:7 ! disease of anatomical entity']
C0036421|'scleroderma'|[210]|['Musc/Skel']|['Connective tissue disease', 'Skin disease']|['HP:0001574 ! Abnormality of the integument']|['DOID:7 ! disease of anatomical entity']
C0036439|'SCOLIOSIS'|[209]|['Musc/Skel']|['Musculoskeletal disease']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0036508|'SEBORRHOEA::Seborrhoeic dermatitis'|[198, 200]|['Derm']|['Skin disease']|['HP:0001574 ! Abnormality of the integument']|['DOID:7 ! disease of anatomical entity']
C0036529|'Secondary Cardiomyopathy'|[97]|['Cardio']|['Cardiovascular disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0036572|'Fit, NOS::CONVULSION::seizure d::SEIZURE::Seizures::Fits NOS::CONVULSIONS'|[83]|['Neuro']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0036601|'SELF MUTILATION::Wound, self-inflicted'|[662]|['Mental']|['Wounds and injuries']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0036631|'SEMINOMA::TESTICULAR SEMINOMA::Seminoma of the Testis'|[30]|['Neoplasms']|['Cancer']|['HP:0000119 ! Abnormality of the genitourinary system']|['DOID:14566 ! disease of cellular proliferation']
C0036646|'Senile Cataract'|[86]|['Eye']|['Eye disease']|['HP:0000478 ! Abnormality of the eye']|['DOID:7 ! disease of anatomical entity']
C0036685|'Gram negative sepsis'|[2]|['ID']|['Pathology (process)']|['HP:0002715 ! Abnormality of the immune system']|['DOID:0050117 ! disease by infectious agent']
C0036689|'STREP THROAT'|[126]|['ID', 'Resp']|['Bacterial infection or mycosis']|['HP:0002086 ! Abnormality of the respiratory system']|['DOID:7 ! disease of anatomical entity']
C0036690|'toxemia::Sepsis::BLOOD POISONING::Septicaemia, NOS'|[2]|['ID']|['Pathology (process)']|['HP:0002715 ! Abnormality of the immune system']|['DOID:0050117 ! disease by infectious agent']
C0036857|'Mental retardation, severe'|[654]|['Dev']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0036916|'Sexually transmissible disease::STDs'|[9]|['ID']|['Pathology (process)', 'Urogenital disease (female)', 'Urogenital disease (male)']|['HP:0000119 ! Abnormality of the genitourinary system', 'HP:0002086 ! Abnormality of the respiratory system']|['DOID:7 ! disease of anatomical entity']
C0036920|Sézary's syndrome|[38]|['Neoplasms']|['Cancer', 'Immune system disease', 'Lymphatic disease']|['HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:14566 ! disease of cellular proliferation']
C0036939|'Induced psychosis'|[655, 659]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0036992|'Short gut syndrome'|[155]|['GI']|['Digestive system disease', 'Pathology (process)']|['HP:0001939 ! Abnormality of metabolism/homeostasis', 'HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0037011|'Shoulder Pain symptoms::SHOULDER PAIN'|[204]|['Musc/Skel']|['Musculoskeletal disease', 'Signs and symptoms']|['HP:0025142 ! Constitutional symptom']|['DOID:150 ! disease of mental health', 'DOID:7 ! disease of anatomical entity']"
C0037019|'SHY-DRAGER SYNDROME'|[81, 117]|['Cardio']|['Cardiovascular disease', 'Nervous system disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0037052|'SICK SINUS SYNDROME::SSS'|[106]|['Cardio']|['Cardiovascular disease', 'Pathology (process)']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0037054|'SICKLE CELL TRAIT::Hemoglobin S'|[61]|['Blood']|['Blood disease', 'Genetic disease (inborn)']|['HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:7 ! disease of anatomical entity']
C0037090|'Respiratory symptoms NOS'|[102, 126, 133, 134]|[]|['Signs and symptoms']|[]|[]
C0037116|'SILICOSIS'|[132]|['Resp']|['Occupational disease', 'Respiratory tract disease']|['HP:0002086 ! Abnormality of the respiratory system']|['DOID:7 ! disease of anatomical entity']
C0037199|'Sinus Infections::SINUSITIS::Infection, Sinus'|[126]|['Resp']|['Ear-nose-throat disease', 'Respiratory tract disease']|['HP:0002086 ! Abnormality of the respiratory system', 'HP:0002715 ! Abnormality of the immune system']|['DOID:7 ! disease of anatomical entity']
C0037221|'SITUS INVERSUS'|[217]|['Cong']|['Congenital abnormality']|['HP:0001626 ! Abnormality of the cardiovascular system', 'HP:0025031 ! Abnormality of the digestive system']|['DOID:0080015 ! physical disorder', 'DOID:225 ! syndrome']"
C0037268|'Abnormalities, Skin'|[217]|['Cong']|['Congenital abnormality', 'Skin disease']|['HP:0001574 ! Abnormality of the integument']|['DOID:7 ! disease of anatomical entity']
C0037274|'SKIN DISORDER::Skin Conditions::SKIN DISORDERS::Skin Disease::disease skin::Skin Diseases::Dermatological disease::Disease of skin'|[200]|['Derm']|['Skin disease']|['HP:0001574 ! Abnormality of the integument']|['DOID:7 ! disease of anatomical entity']
C0037278|'Infection of skin'|[9, 90, 197, 198, 247]|['Derm']|['Skin disease']|['HP:0001574 ! Abnormality of the integument']|['DOID:7 ! disease of anatomical entity']
C0037284|'Skin lesions'|[200]|['Derm']|['Skin disease']|['HP:0001574 ! Abnormality of the integument']|['DOID:7 ! disease of anatomical entity']
C0037299|'Skin ulcers'|[199]|['Derm']|['Skin disease']|['HP:0001574 ! Abnormality of the integument']|['DOID:7 ! disease of anatomical entity']
C0037304|'SKULL FRACTURE'|[2620]|['Cardio', 'Musc/Skel', 'Neuro']|['Nervous system disease', 'Wounds and injuries']|[]|['DOID:7 ! disease of anatomical entity']
C0037305|'Cranial Tumor'|[43, 44, 212]|['Musc/Skel', 'Neoplasms']|['Cancer', 'Musculoskeletal disease']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0037315|'Sleep apnoea'|[259]|['Neuro']|['Nervous system disease', 'Respiratory tract disease']|['HP:0000707 ! Abnormality of the nervous system', 'HP:0002086 ! Abnormality of the respiratory system']|['DOID:150 ! disease of mental health', 'DOID:7 ! disease of anatomical entity']"
C0037317|'sleeping Disease::sleep Disease::SLEEP DISTURBANCE'|[259]|['Neuro']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0037320|'NIGHT TERRORS::Sleep Terrors'|[670]|['Neuro']|['Mental disorder', 'Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health', 'DOID:7 ! disease of anatomical entity']"
C0037354|'SMALLPOX'|[7]|['ID']|['Viral disease']|['HP:0001574 ! Abnormality of the integument']|['DOID:0050117 ! disease by infectious agent']
C0037367|'Smoke Inhalation'|[132, 243]|['Resp']|['Wounds and injuries']|['HP:0002086 ! Abnormality of the respiratory system', 'HP:0002715 ! Abnormality of the immune system']|['DOID:7 ! disease of anatomical entity']
C0037379|'Snakebite'|[243]|[]|['Wounds and injuries']|[]|['DOID:0050117 ! disease by infectious agent']
C0037383|'Sneezes::SNEEZING'|[134]|['Resp']|['Signs and symptoms']|['HP:0000152 ! Abnormality of head or neck', 'HP:0002086 ! Abnormality of the respiratory system', 'HP:0025142 ! Constitutional symptom']|['DOID:7 ! disease of anatomical entity']
C0037384|'SNORING::Snores::Snored::Snore'|[133]|['Signs/Symptoms']|['Signs and symptoms']|['HP:0002086 ! Abnormality of the respiratory system']|['DOID:150 ! disease of mental health']
C0037579|'Soft tissue tumour'|[211]|['Musc/Skel']|['Cancer']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0037672|'sleepwalk::Sleepwalking::Somnanbulism::Walking in sleep::sleepwalked::sleep walk'|[670]|['Neuro']|['Mental disorder', 'Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0037763|'Spasm::SPASMS::Muscle cramps::Spasm of muscle'|[95, 211]|['Musc/Skel']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0037771|'Paraparesis, Spastic'|[82, 95, 211]|['Neuro']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system', 'HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0037822|'Speech Diseases'|[654]|['Dev']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0037856|'TESTICULAR TORSION'|[166]|['Genitourinary']|['Urogenital disease (male)']|['HP:0000119 ! Abnormality of the genitourinary system']|['DOID:7 ! disease of anatomical entity']
C0037889|'Hereditary Spherocytosis'|[59]|['Blood']|['Blood disease', 'Genetic disease (inborn)']|['HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:7 ! disease of anatomical entity']
C0037929|'Spinal cord Traumatic injury::Injury, Spinal Cord'|[227]|['Neuro']|['Nervous system disease', 'Wounds and injuries']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0037930|'Spinal tumors::Spinal cord Tumour::Spinal tumour'|[95]|['Neuro']|['Cancer', 'Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:14566 ! disease of cellular proliferation']
C0037933|'spine disease::Disease, Spinal::spinal condition::Spinal disorder'|[205]|['Musc/Skel']|['Musculoskeletal disease']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0037937|'Injury, Spinal'|[205]|['Musc/Skel']|['Wounds and injuries']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0037939|'Spinal tumors'|[205]|['Musc/Skel']|['Cancer', 'Musculoskeletal disease']|['HP:0002664 ! Neoplasm', 'HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:14566 ! disease of cellular proliferation']
C0037944|'SPINAL STENOSIS'|[205]|['Musc/Skel']|['Musculoskeletal disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0037952|'Spinocerebellar Degeneration'|[81]|['Neuro']|['Genetic disease (inborn)', 'Nervous system disease']|['HP:0000152 ! Abnormality of head or neck']|['DOID:7 ! disease of anatomical entity']
C0038000|'RUPTURE OF SPLEEN'|[64]|['Blood']|['Lymphatic disease', 'Wounds and injuries']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0038012|'Spondylitis'|[205]|['Musc/Skel']|['Musculoskeletal disease']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0038013|'ANKYLOSING SPONDYLITIS'|[202]|['Musc/Skel']|['Musculoskeletal disease']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0038016|'SPONDYLOLISTHESIS'|[209]|['Musc/Skel']|['Musculoskeletal disease']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:0080015 ! physical disorder', 'DOID:7 ! disease of anatomical entity']"
C0038019|'SPONDYLOSIS'|[205]|['Musc/Skel']|['Musculoskeletal disease']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0038160|'Staphylococcal Infection::staph infection::Staph'|[3, 10]|['ID']|['Bacterial infection or mycosis']|['HP:0002086 ! Abnormality of the respiratory system']|['DOID:0050117 ! disease by infectious agent']
C0038220|'STATUS EPILEPTICUS'|[83, 95]|['Neuro']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0038325|'STEVENS JOHNSON SYNDROME'|[198]|['Derm']|['Immune system disease', 'Mouth disease', 'Skin disease']|['HP:0000152 ! Abnormality of head or neck', 'HP:0002715 ! Abnormality of the immune system']|['DOID:7 ! disease of anatomical entity']
C0038354|'Disease of stomach::Stomach Disorder::Gastric Disease::Disorder of stomach::Stomach Diseases::Stomach Disease'|[141]|['GI']|['Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0038356|'Tumour of stomach::stomach tumour::Neoplasms, Gastric::Stomach--Tumors'|[44]|['GI', 'Neoplasms']|['Cancer', 'Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:14566 ! disease of cellular proliferation']
C0038358|'STOMACH ULCER::Ulcers, Gastric::GASTRIC ULCER::Stomach--Ulcers'|[139]|['GI']|['Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0038363|'Canker Sores'|[137]|['GI']|['Mouth disease']|['HP:0000152 ! Abnormality of head or neck']|['DOID:7 ! disease of anatomical entity']
C0038379|'STRABISMUS::SQUINT'|[91]|['Eye']|['Eye disease', 'Nervous system disease']|['HP:0000478 ! Abnormality of the eye']|['DOID:7 ! disease of anatomical entity']
C0038395|'strep infection::STREPTOCOCCAL INFECTION::Strep'|[3]|['ID']|['Bacterial infection or mycosis']|['HP:0002086 ! Abnormality of the respiratory system']|['DOID:0050117 ! disease by infectious agent']
C0038436|'PTSD::Posttraumatic stress disorder'|[651]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0038443|'Stress, Life'|[255]|['Mental']|[]|['HP:0000707 ! Abnormality of the nervous system']|[]
C0038454|'CEREBROVASCULAR ACCIDENT::CEREBRAL VASCULAR ACCIDENT::CVA, NOS::Cerebrovascular Accidents::Strokes::Stroke Syndrome::Strokes, Cerebrovascular::Stroke, Cerebrovascular::APOPLEXY::STROKE::Brain Attack::Stroke, Cerebral'|[109]|['Cardio']|['Cardiovascular disease', 'Nervous system disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0038525|'SUBARACHNOID HEMORRHAGE'|[109]|['Cardio']|['Cardiovascular disease', 'Nervous system disease', 'Pathology (process)']|['HP:0000707 ! Abnormality of the nervous system', 'HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:7 ! disease of anatomical entity']
C0038580|'Substance Dependence::chemical dependence::chemical addiction::chemical dependency::Medication dependence::Medication addiction'|[661]|['Dev', 'Mental', 'Neuro']|['Mental disorder', 'Substance-related disorder']|[]|['DOID:150 ! disease of mental health']
C0038644|'SUDDEN INFANT DEATH::SUDDEN INFANT DEATH SYNDROME::Crib death::SID::SIDS'|[259]|['Signs/Symptoms']|['Pathology (process)']|['HP:0025142 ! Constitutional symptom']|['DOID:225 ! syndrome']
C0038663|'SUICIDE ATTEMPT::Attempted Suicide::suicide attempts::attempt suicide'|[662]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
